review_text,rating,date
Excellent mobile with great battery backup,5,2023-01-05
Worst product I have ever purchased,1,2023-01-12
Delivery was late but product quality is good,4,2023-01-18
Average performance not very impressive,3,2023-01-25
Very bad camera quality,2,2023-02-02
Super fast charging and smooth performance,5,2023-02-10
Packaging was damaged but product works fine,3,2023-02-14
Totally worth the money,5,2023-02-20
Heating issue after continuous usage,2,2023-03-01
Amazing display and sound quality,5,2023-03-05
Not satisfied with the build quality,2,2023-03-10
Flipkart delivered on time, very happy,4,2023-03-18
The product stopped working after one week,1,2023-03-25
Good laptop for students,4,2023-04-02
Poor customer service experience,1,2023-04-08
Battery drains very quickly,2,2023-04-15
Highly recommended for daily use,5,2023-04-22
Product quality is decent for this price,3,2023-05-01
Very comfortable and stylish design,5,2023-05-07
Received a defective piece initially,2,2023-05-14
Replacement process was smooth,4,2023-05-20
Terrible experience with this seller,1,2023-06-02
Sound quality is crystal clear,5,2023-06-08
Camera performance is average,3,2023-06-15
Fast delivery and genuine product,5,2023-06-22
The screen resolution is not good,2,2023-07-01
Performance is very slow after update,2,2023-07-06
Value for money product,4,2023-07-12
Totally disappointed with the quality,1,2023-07-18
Nice product with smooth functioning,4,2023-08-03
Excellent features at affordable price,5,2023-08-10
Product is okay but overpriced,3,2023-08-18
Worst battery backup ever,1,2023-09-01
Very lightweight and easy to carry,5,2023-09-07
Customer support resolved my issue quickly,4,2023-09-15
Overheats during gaming,2,2023-09-22
Highly satisfied with performance,5,2023-10-03
Material quality could be better,3,2023-10-10
Product looks premium and stylish,5,2023-10-18
Delivery was delayed without notice,2,2023-11-01
Great experience shopping on Flipkart,5,2023-11-07
The product description was misleading,1,2023-11-15
Very durable and long lasting,5,2023-12-01
Does not match the images shown,2,2023-12-08
Affordable and reliable product,4,2023-12-15
Bad packaging but product is fine,3,2023-12-20
Excellent performance for the price range,5,2024-01-05
Received wrong color variant,2,2024-01-12
Smooth user interface and fast processing,5,2024-01-20
Not worth buying, totally waste of money,1,2024-02-01
